Transition,Date,Q_V_c,Q_V_c_error,,T_p,T_p_error,delta_V,delta_V_error,,W,W_error,M_V_c,M_V_c_error,,S_p,S_p_error,V_r_low,V_r_upp
"(6,3)",2020-03-16,60.43,0.51,,0.7,0.2,13.72,1.01,,4.83,0.47,53.77,0.03,,0.71,0.1,53.3,54.3
"(6,3)",2020-03-16,,,,,,,,,,,55.82,0.01,,3.05,0.1,55.3,56.3
"(6,3)",2020-04-01,58.13,0.88,,1.4,0.47,11.52,1.7,,1.3,0.13,53.74,0.1,,0.82,0.25,53.1,54.3
"(6,3)",2020-04-01,,,,,,,,,,,55.92,0.01,,3.92,0.25,55.4,56.4
"(6,3)",2020-04-07,58.13,,<,0.6,,,,<,1.2,,53.74,,<,0.3,,,
"(6,3)",2020-04-07,,,,,,,,,,,55.82,0.01,,1.71,0.1,55.4,56.3
"(5,1)",2020-03-16,61.47,0.69,,0.4,0.14,3.87,0.69,,3,0.34,,,,,,,
"(5,1)",2020-04-01,61.48,2.73,,1.46,0.34,6 14.27,4.79,,3.4,0.18,,,,,,,
"(5,1)",2020-04-07,61.48,,<,0.4,,,,<,0.96,,,,,,,,
"(5,2)",2020-01-08,58.78,0.34,,0.33,0.07,9.29,0.87,,1.73,0.13,,,,,,,
"(5,2)",2020-03-14,58.47,1.07,,0.13,0.03,9.41,2.32,,2.66,0.27,63.14,0.19,,0.1,0.04,62.2,64.1
"(5,2)",* 2020-3-20,58.34,0.35,,0.25,0.03,9.67,0.6,,2.56,0.1,,,,,,,
"(5,2)",2020-04-01,58.81,0.29,,0.33,0.03,16.53,0.92,,3.6,0.20 10.9 0.7,,,,,,,
"(5,2)",2020-04-07,58.81,,<,0.2,,,,<,2,,,,,,,,
"(8,6)",2020-01-08,62.56,0.6,,0.43,0.1,24.42,1.4,,3.33,0.17,52.23,0.03,,0.43,0.05,51.2,53.2
"(8,6)",2020-03-14,59.33,1.34,,0.27,0.07,16.58,3.42,,2.2,0.37,52.17,0.08,,0.18,0.05,51.4,53
"(8,6)",2020-03-16,65.57,1.19,,0.53,0.13,14.31,2.66,,4.86,0.17,,,,,,,
"(8,6)",* 2020-3-20,57.85,0.4,,0.48,0.07,8,0.93,,4.84,0.27,,,,,,,
"(8,6)",* 2020-3-20,67.24,0.37,,0.26,0.07,22.45,1.03,,10.64,0.37,,,,,,,
"(8,6)",2020-04-01,60.5,0.31,,0.5,0.1,19.79,0.74,,1.6,0.13,52.17,0.03,,0.36,0.04,51.2,53.2
"(8,6)",2020-04-07,60.5,,<,0.2,,,,<,0.72,,52.17,,<,0.1,,,
"(9,7)",2020-01-08,59.29,1.54,,0.23,0.1,6.94,2.03,,0.57,0.17,54.34,0.04,,0.34,0.06,53.7,54.9
"(9,7)",2020-01-08,,,,,,,,,,,63.3,,<,0.18,,,
"(9,7)",2020-03-14,56.7,2.06,,0.13,0.07,27,4.29,,3.6,0.53,54.24,0.07,,0.12,0.04,53.5,54.9
"(9,7)",2020-03-14,,,,,,,,,,,63.3,0.23,,0.12,0.01,61.3,65.3
"(9,7)",2020-03-16,,,,,,,,,,,54.22,0.27,,0.32,0.12,52.7,55.7
"(9,7)",2020-03-16,,,,,,,,,,,59.47,0.33,,0.35,0.12,57.1,61.9
"(9,7)",* 2020-3-20,58.34,0.23,,0.16,0.03,8.35,1.37,,1.76,0.13,54.24,,<,0.32,,,
"(9,7)",* 2020-3-20,,,,,,,,,,,63.3,,<,0.35,,,
"(9,7)",2020-04-01,59.39,0.52,,0.17,0.03,9.61,1.13,,1.67,0.17,54.16,0.07,,0.11,0.02,53,55.4
"(9,7)",2020-04-01,,,,,,,,,,,63.3,,<,0.06,,,
"(9,7)",2020-04-07,59.39,,<,0.2,,,,<,1.13,,54.16,,<,0.1,,,
"(9,7)",2020-04-07,,,,,,,,,,,63.3,,<,0.1,,,
"(7,5)",2020-01-08,,,,,,,,,,,54.37,0,,4.96,0.13,53.6,55.2
"(7,5)",2020-03-14,,,,,,,,,,,54.31,0.01,,4.14,0.13,53.5,55.1
"(7,5)",2020-03-16,,,,,,,,,,,54.31,0.02,,4.8,0.61,53.3,55.3
"(7,5)",2020-03-20,,,,,,,,,,,54.47,0.01,,1.11,0.11,53.7,55.3
"(7,5)",2020-04-01,,,,,,,,,,,54.35,0.01,,6.51,0.1,53.6,55.2
"(7,5)",2020-04-07,,,,,,,,,,,54.26,0.05,,0.5,0.1,53.5,55.1
"(10,8)",2020-01-08,60.85,,<,0.2,,,,<,0.87,,,,,,,,
"(10,8)",2020-03-20,60.85,,<,0.2,,,,<,1.13,,,,,,,,
"(10,8)",2020-04-01,60.85,0.54,,0.1,0.03,9.53,1.36,,1.17,0.13,,,,,,,
"(10,8)",2020-04-07,60.95,0.74,,0.1,0.03,5.48,1.88,,0.63,0.17,,,,,,,
"(6,4)",2020-01-08,60.34,0.59,,0.53,0.1,12.35,1.51,,4.7,0.47,,,,,,,
"(6,4)",* 2020-3-20,58.56,0.36,,0.43,0.07,9.76,1.21,,5.3,0.27,,,,,,,
"(6,4)",2020-04-01,59.16,0.25,,0.37,0.07,10.8,0.57,,4.33,0.2,,,,,,,
"(6,4)",2020-04-07,59.16,,<,0.2,,,,<,0.57,,,,,,,,
"(11,9)",2020-04-01,55.43,1.53,,0.2,0.07,11.32,2.68,,1.23,0.3,47.35,0.04,,0.3,0.04,44.6,50.2
