line,dec,ra,dec_error,ra_error,vlsr_kms,S,change_S,change_vlsr
"(7, 6)",290.9170765,14.51823124,9.35E-07,9.27E-07,47.60075913,0.3645,-1.636,0.051
"(7, 7)",290.9170758,14.51823158,4.80E-07,4.80E-07,47.58872846,0.5501,0.35,0.299
"(7, 7)",290.917076,14.5182316,7.26E-07,7.26E-07,46.42290954,0.2278,0.048,-3.497
"(11, 9)",290.9170756,14.51823135,7.16E-07,7.15E-07,47.50697245,0.416,-0.824,0.387
,,,,,,,,
,,,,,,,,
