dec,ra
290.91589560,14.51800069
290.91592600,14.51800888
290.91590030,14.51801042
290.91589390,14.51800111
290.91592620,14.51800959
290.91589860,14.51800816
290.91589820,14.51801105
290.91589850,14.51800926
290.91589750,14.51800925
