mu_GHz,amp_Jy,amp_Jy_error
226.3787,2.039725915e-02,2.176452243e-03
86,0.04318212384,0.0008000389615
46.99,0.01916862265,0.0005594413131
33.04,0.01409054277,0.0007564906677
22.4601,1.022182643e-02,3.656630516e-03
